Title,URL,Replies
[FREE] ChatGPT Jailbreak Prompt | ILLEGAL VERSION OF ChatGPT?,https://darkforums.st/archive/index.php?thread-1076.html,239 Replies
"PSD Templates for KYC - Driver License, Selfies",https://darkforums.st/archive/index.php?thread-106.html,214 Replies
CHINA - ID cards front and back - 1000 sets,https://darkforums.st/archive/index.php?thread-14587.html,53 Replies
x1640 Credit Cards Valid Leaked,https://darkforums.st/archive/index.php?thread-447.html,319 Replies
"20 GB of DNI's, PASSPORTS AND STOLEN DOCUMENTATION",https://darkforums.st/archive/index.php?thread-376.html,261 Replies
Linkedin USA Austria Brazil Bangladesh Canada France India Iran Iraq Luxembourg UK,https://darkforums.st/archive/index.php?thread-13061.html,72 Replies
> [ New DarkWeb Onion Links { - 2025 - } (All Working) ] <,https://darkforums.st/archive/index.php?thread-6742.html,560 Replies
[MOROCCO] Student data in the Ministry of Education,https://darkforums.st/archive/index.php?thread-16641.html,86 Replies
+30 phishing pages,https://darkforums.st/archive/index.php?thread-719.html,151 Replies
BidenCash 1.2 million  credit cards Leaks 2023,https://darkforums.st/archive/index.php?thread-343.html,268 Replies
UAE Abu Dhabi & Dubai police Data,https://darkforums.st/archive/index.php?thread-128.html,97 Replies
Indonesian Maritime Security Agency,https://darkforums.st/archive/index.php?thread-703.html,98 Replies
⚡PHOTOSHOP SERVICE FOR DRAWING / EDITING DOCUMENTS. HIGH-QUALITY.⚡⚡️,https://darkforums.st/archive/index.php?thread-9475.html,76 Replies
162 Passports - South America,https://darkforums.st/archive/index.php?thread-1343.html,64 Replies
29k Drivers Licenses,https://darkforums.st/archive/index.php?thread-18385.html,9 Replies
[USER:PASS] Snapchat Users Data,https://darkforums.st/archive/index.php?thread-479.html,144 Replies
Facturas - Instituto de Movilidad del Estado de Quintana Roo (IMOVEQROO),https://darkforums.st/archive/index.php?thread-20964.html,0 Replies
Demand the Black Budget cia leak and nsa,https://darkforums.st/archive/index.php?thread-20950.html,0 Replies
"Mirror of Cryptocomb Names of CIA Officers, Stations, Bases, October 29, 2022",https://darkforums.st/archive/index.php?thread-20949.html,0 Replies
"Mirror of Cryptocomb Names of CIA Officers, Stations, Bases, October 29, 2022",https://darkforums.st/archive/index.php?thread-20948.html,0 Replies
9k korean personal data,https://darkforums.st/archive/index.php?thread-2534.html,60 Replies
2023 BMW CONSUMER LEADS,https://darkforums.st/archive/index.php?thread-506.html,42 Replies
Ransomware & Rats collection,https://darkforums.st/archive/index.php?thread-1672.html,142 Replies
Recent Medibank Breach,https://darkforums.st/archive/index.php?thread-50.html,33 Replies
Sony Playstation 147Gb Full Breached Download Free!,https://darkforums.st/archive/index.php?thread-19842.html,15 Replies
How to Hack CCTV Private Cameras,https://darkforums.st/archive/index.php?thread-301.html,297 Replies
Facturas del Instituto de Movilidad del Estado de Quintana Roo (IMOVEQROO),https://darkforums.st/archive/index.php?thread-20938.html,0 Replies
Facturas - Instituto de Movilidad del Estado de Quintana Roo (IMOVEQROO),https://darkforums.st/archive/index.php?thread-20935.html,0 Replies
Facturas - Instituto de Movilidad del Estado de Quintana Roo (IMOVEQROO),https://darkforums.st/archive/index.php?thread-20934.html,0 Replies
Facturas - Instituto de Movilidad del Estado de Quintana Roo (IMOVEQROO),https://darkforums.st/archive/index.php?thread-20933.html,0 Replies
Facturas - Instituto de Movilidad del Estado de Quintana Roo (IMOVEQROO),https://darkforums.st/archive/index.php?thread-20932.html,0 Replies
Facturas - Instituto de Movilidad del Estado de Quintana Roo (IMOVEQROO),https://darkforums.st/archive/index.php?thread-20931.html,0 Replies
All databases of FACEBOOK latest leak 2019 (15.7GB),https://darkforums.st/archive/index.php?thread-482.html,210 Replies
United Kingdom - Full Info Consumer Leads,https://darkforums.st/archive/index.php?thread-383.html,77 Replies
⭐️ Shanghai Police Data on 1 Billion Chinese Citizens  Leak (750K REupload),https://darkforums.st/archive/index.php?thread-1164.html,101 Replies
China Gov Leak,https://darkforums.st/archive/index.php?thread-470.html,319 Replies
X TWITTER DATA BREACH 200M + EMAIL:PASS 2025,https://darkforums.st/archive/index.php?thread-20920.html,0 Replies
CHINA - 64 sets of ID cards - front back holding,https://darkforums.st/archive/index.php?thread-19561.html,22 Replies
1+ TB COURSES LEAKS,https://darkforums.st/archive/index.php?thread-1666.html,98 Replies
INTRODUCTION TO MALWARE ANALYSIS 👾,https://darkforums.st/archive/index.php?thread-4705.html,12 Replies
> DarkWeb Link List [ X Fresh Onions X ],https://darkforums.st/archive/index.php?thread-20868.html,0 Replies
Multiple Country Government GitLab Access Leaked,https://darkforums.st/archive/index.php?thread-4384.html,90 Replies
"FREE BOTTING WEBSITE [ FACEBOOK, TIKTOK, INSTA, YT ] [ WORKING ]",https://darkforums.st/archive/index.php?thread-2988.html,91 Replies
China - ID number - Bank card - Mobile phone number,https://darkforums.st/archive/index.php?thread-19365.html,28 Replies
Forex USA 100K,https://darkforums.st/archive/index.php?thread-563.html,44 Replies
China - Shanghai Suishenma (Airport Surveillance),https://darkforums.st/archive/index.php?thread-866.html,59 Replies
Singapore Credit Bureau (MLCB) Data Leak 2024,https://darkforums.st/archive/index.php?thread-3750.html,30 Replies
Boeing.com Leaked Data,https://darkforums.st/archive/index.php?thread-2592.html,52 Replies
4000 million Credit American Customer,https://darkforums.st/archive/index.php?thread-5923.html,15 Replies
≫DarkWeb Link List [ ✘ Fresh Onions ✘ ],https://darkforums.st/archive/index.php?thread-20767.html,0 Replies
≫DarkWeb Link List [ ✘ Fresh Onions ✘ ],https://darkforums.st/archive/index.php?thread-20766.html,0 Replies
116M Turkey GSM 2022 Phone & Id Database,https://darkforums.st/archive/index.php?thread-832.html,88 Replies
European defence contractor (Rheinmetall Defence) leak,https://darkforums.st/archive/index.php?thread-338.html,71 Replies
UAE based 56K Shipping contact,https://darkforums.st/archive/index.php?thread-16731.html,23 Replies
Leak of confidential data from the Paraguayan military,https://darkforums.st/archive/index.php?thread-19648.html,4 Replies
Full Naz.api dataset 110Gb,https://darkforums.st/archive/index.php?thread-13058.html,53 Replies
SENSITIVE FILES FROM INDONESIA,https://darkforums.st/archive/index.php?thread-8716.html,119 Replies
Magelang City Government - 4.6GB+ Leak,https://darkforums.st/archive/index.php?thread-7902.html,50 Replies
Intelx.io Pastes Scrape,https://darkforums.st/archive/index.php?thread-484.html,132 Replies
Linkedin Scrapped Data 400 Million lines - 2021,https://darkforums.st/archive/index.php?thread-759.html,153 Replies
Iraq Prisoners Leak,https://darkforums.st/archive/index.php?thread-442.html,89 Replies
Facturas - Instituto de Movilidad del Estado de Quintana Roo (IMOVEQROO),https://darkforums.st/archive/index.php?thread-20587.html,0 Replies
Facturas - Instituto de Movilidad del Estado de Quintana Roo (IMOVEQROO),https://darkforums.st/archive/index.php?thread-20544.html,0 Replies
Facturas - Instituto de Movilidad del Estado de Quintana Roo (IMOVEQROO),https://darkforums.st/archive/index.php?thread-20543.html,0 Replies
Facturas - Instituto de Movilidad del Estado de Quintana Roo (IMOVEQROO),https://darkforums.st/archive/index.php?thread-20541.html,0 Replies
Facturas - Instituto de Movilidad del Estado de Quintana Roo (IMOVEQROO),https://darkforums.st/archive/index.php?thread-20540.html,0 Replies
📘 CIA Servers  with locations,https://darkforums.st/archive/index.php?thread-20035.html,4 Replies
CREDENTIALS DUMPED FROM ESQUELESQUAD,https://darkforums.st/archive/index.php?thread-20521.html,0 Replies
CREDENTIALS DUMPED FROM ESQUELESQUAD,https://darkforums.st/archive/index.php?thread-20520.html,0 Replies
CREDENTIALS DUMPED FROM ESQUELESQUAD,https://darkforums.st/archive/index.php?thread-20519.html,0 Replies
"210K BRAZIL COMBO FOR (HBO, SHOPPING, HOSTING, MINECRAFT, STEAM, ORIGIN ETC)",https://darkforums.st/archive/index.php?thread-314.html,20 Replies
If you’re trying to cash out right,https://darkforums.st/archive/index.php?thread-20517.html,0 Replies
If you’re trying to cash out right,https://darkforums.st/archive/index.php?thread-20516.html,0 Replies
If you’re trying to cash out right,https://darkforums.st/archive/index.php?thread-20515.html,0 Replies
Active DarkWeb Links [500+ Active Links],https://darkforums.st/archive/index.php?thread-220.html,426 Replies
Arizona Sky Onlyfans Mega Pack,https://darkforums.st/archive/index.php?thread-3190.html,42 Replies
6 TB onlyfans,https://darkforums.st/archive/index.php?thread-1667.html,194 Replies
"Doordash Data Breach - Leaked, Download!",https://darkforums.st/archive/index.php?thread-4268.html,20 Replies
230k DORKS PRIVATE UHQ (by me !),https://darkforums.st/archive/index.php?thread-296.html,46 Replies
Microsoft Leaked Source Code Archive 2020,https://darkforums.st/archive/index.php?thread-3975.html,9 Replies
cairo.gov.eg data,https://darkforums.st/archive/index.php?thread-2212.html,65 Replies
ITALY PRIME MINISTERY LEAKED DATA,https://darkforums.st/archive/index.php?thread-505.html,77 Replies
SAUDI ARABIA BANK STATEMENT,https://darkforums.st/archive/index.php?thread-189.html,132 Replies
Credit Cards,https://darkforums.st/archive/index.php?thread-140.html,243 Replies
15.4 MB LEAK DB OF...,https://darkforums.st/archive/index.php?thread-1731.html,57 Replies
Mexico conamer.gob.mx server files and databases,https://darkforums.st/archive/index.php?thread-20042.html,0 Replies
Thailand's Ramkhamhaeng University [DATA DOC],https://darkforums.st/archive/index.php?thread-15012.html,31 Replies
Passport And International Citizen Identification,https://darkforums.st/archive/index.php?thread-3504.html,154 Replies
LEADS ARGENTINA DNI + EMAIL,https://darkforums.st/archive/index.php?thread-16961.html,29 Replies
CHINA IDENTITY CARDS,https://darkforums.st/archive/index.php?thread-104.html,121 Replies
Spotify Sign UP  funny,https://darkforums.st/archive/index.php?thread-20006.html,0 Replies
Pakistan Telecommunications Mobile Limited (PTML),https://darkforums.st/archive/index.php?thread-262.html,103 Replies
Bangladesh Bank Customers Data,https://darkforums.st/archive/index.php?thread-192.html,55 Replies
Pakistan Chemical Manufactures Association,https://darkforums.st/archive/index.php?thread-334.html,49 Replies
MAKE $1000 IN 20 MINUTES ✨ NEW METHOD ❣️,https://darkforums.st/archive/index.php?thread-18731.html,9 Replies
Binance leak 2019 docs and user data,https://darkforums.st/archive/index.php?thread-387.html,170 Replies
CALIFORNIA DRIVING LICENCE PSD,https://darkforums.st/archive/index.php?thread-453.html,68 Replies
HACOO INTERNAL COMPANY DOCUMENTS LEAKED,https://darkforums.st/archive/index.php?thread-13403.html,48 Replies
"[QATAR] Artan Holding Company & 9 Subsidiaries Leak, Volume 1",https://darkforums.st/archive/index.php?thread-10857.html,48 Replies
